RESP_FINAL;filename;A1R;A2R;L*(D65);a*(D65);b*(D65);C*(D65);h(D65);Image_SkinCluster;DE2000_centroid_1;DE76_centroid_1;DE2000_centroid_2;DE76_centroid_2;DE2000_centroid_3;DE76_centroid_3;DE2000_centroid_4;DE76_centroid_4;DE2000_centroid_5;DE76_centroid_5;DE2000_centroid_6;DE76_centroid_6;closest_centroid_DE2000;closest_centroid_Euclidean;two_closest_clusters_DE2000;two_close_deltaE_DE2000;single_cluster;eval_cluster
2180;218003_81.jpg;5;5;30.485;7.445;7.33166666666667;10.4516666666667;44.49;6;36.2704308263136;37.0766717237552;30.2925936190319;32.318368143278;28.1496287003868;31.053871247309;20.5495476499516;23.3365661450961;14.9248356556073;19.3983999196955;7.5631052472737;10.1615772780498;6;6;[];FAUX;VRAI;6
2213;221303_81.jpg;5;5;31.34;8.23833333333333;9.505;12.5833333333333;49.2333333333333;6;35.3299406543293;35.7738656159928;29.4137345676067;30.9237739359937;27.1510508704323;29.445198721995;19.6166910295013;21.9222055104965;13.5886776266646;17.3319529899098;6.13862289442822;8.05084019079858;6;6;[];FAUX;VRAI;6
2235;223503_81.jpg;6;6;31.6366666666667;8.24333333333333;8.58833333333333;11.9083333333333;46.1316666666667;6;35.1526505640076;35.6488988843508;29.245957253345;30.8007871923213;27.1030762163607;29.4762055167667;19.4713873588249;21.8134627772239;13.6569055540028;17.5871844913657;6.2081940314072;8.30824239335051;6;6;[];FAUX;VRAI;6
3248;324803_81.jpg;6;6;32.205;8.295;8.435;11.83;45.4633333333333;6;34.6551962527485;35.1207186002792;28.8230940261317;30.2744822416503;26.7207690370449;28.9990357598317;19.0540245053973;21.2923290177472;13.3140933788985;17.216383911844;5.89083586527062;7.96940869826613;6;6;[];FAUX;VRAI;6
2238;223803_81.jpg;6;6;33.115;7.55333333333333;7.025;10.3433333333333;42.1833333333333;6;33.9557560571336;34.5895460283081;28.3456784352776;29.870629852378;26.3188417496788;28.7602931332612;18.6214457881368;20.9172997248158;13.2920828431044;17.5948409420994;6.16556158344753;8.63004989041843;6;6;[];FAUX;VRAI;6
2267;226703_81.jpg;6;6;33.3416666666667;8.82;9.64;13.0666666666667;47.5333333333333;6;33.4634317259393;33.7600671816735;27.806667507968;28.8580185756249;25.6749307060984;27.4898490861223;18.0281758072914;19.8714418897517;12.0977787767988;15.5103708136775;4.62607494746895;6.24078008834722;6;6;[];FAUX;VRAI;6
2229;222903_81.jpg;5;6;33.3716666666667;8.70666666666667;9.15166666666667;12.6383333333333;46.4266666666667;6;33.4768462889177;33.822580967947;27.8239731490652;28.9362244139303;25.7363520756493;27.6359804723239;18.0557474184387;19.9528657089652;12.2418341012264;15.7959377689329;4.80683728204874;6.56408282499036;6;6;[];FAUX;VRAI;6
2207;220703_81.jpg;5;5;33.845;8.07;9.08333333333333;12.1516666666667;48.42;6;32.9994653859631;33.3966565608661;27.5291085723177;28.6101911232888;25.3486981646493;27.2503933203011;17.7510381401701;19.6005544847872;11.9817810879443;15.6304618009549;4.71645926062733;6.54392869595763;6;6;[];FAUX;VRAI;6
2215;221503_81.jpg;6;6;34.01;10.32;10.8916666666667;15.015;46.2916666666667;6;32.7463035711865;32.8956015719089;27.0814632996605;27.7953995494059;25.0834310447431;26.444376266252;17.3604868597525;18.8900194841379;11.2324133276954;14.0020261430663;3.62574435671983;4.63988894742584;6;6;[];FAUX;VRAI;6
2243;224303_81.jpg;6;6;34.0916666666667;8.56833333333333;10.5616666666667;13.6016666666667;50.9;6;32.6277787750641;32.8778386607149;27.1975159582115;28.0277780365599;24.9239189639923;26.4877432346862;17.4057236065609;19.0173501922148;11.3066411258211;14.4576556997783;3.94055878616942;5.26442858564282;6;6;[];FAUX;VRAI;6
