RESP_FINAL;filename;eval_cluster;single_cluster;Image_SkinCluster
3211;321103_81.jpg;5;FAUX;5
2104;210403_81.jpg;5;FAUX;5
3184;318403_81.jpg;5;FAUX;5
3219;321903_81.jpg;5;FAUX;5
4263;426303_81.jpg;5;FAUX;4
4220;422003_81.jpg;5;FAUX;4
2265;226503_81.jpg;5;FAUX;4
4207;420703_81.jpg;5;FAUX;4
4218;421803_81.jpg;5;FAUX;4
3090;309003_81.jpg;5;FAUX;5
3237;323703_81.jpg;5;FAUX;5
4162;416203_81.jpg;4;FAUX;2
2136;213603_81.jpg;4;FAUX;3
2151;215103_81.jpg;5;FAUX;4
3163;316303_81.jpg;5;FAUX;5
3192;319203_81.jpg;4;FAUX;4
2146;214603_81.jpg;4;FAUX;4
4206;420603_81.jpg;5;FAUX;4
3254;325403_81.jpg;5;FAUX;4
2199;219903_81.jpg;4;FAUX;4
3161;316103_81.jpg;5;FAUX;4
3240;324003_81.jpg;4;FAUX;5
3256;325603_81.jpg;5;FAUX;4
4211;421103_81.jpg;4;FAUX;4
3193;319303_81.jpg;5;VRAI;5
2244;224403_81.jpg;5;FAUX;3
2046;204603_81.jpg;4;FAUX;4
4242;424203_81.jpg;4;VRAI;2
4219;421903_81.jpg;5;FAUX;4
3178;317803_81.jpg;5;FAUX;5
4209;420903_81.jpg;4;FAUX;3
2148;214803_81.jpg;4;VRAI;4
2200;220003_81.jpg;4;VRAI;4
4165;416503_81.jpg;4;VRAI;4
2230;223003_81.jpg;4;VRAI;5
3201;320103_81.jpg;5;FAUX;5
3154;315403_81.jpg;4;VRAI;5
2174;217403_81.jpg;5;FAUX;4
1127;112703_81.jpg;4;VRAI;4
2161;216103_81.jpg;4;VRAI;4
2224;222403_81.jpg;4;VRAI;4
2092;209203_81.jpg;4;VRAI;4
2193;219303_81.jpg;5;VRAI;4
1129;112903_81.jpg;4;VRAI;4
4212;421203_81.jpg;4;VRAI;3
3086;308603_81.jpg;4;VRAI;4
3197;319703_81.jpg;4;VRAI;4
3121;312103_81.jpg;4;VRAI;4
1121;112103_81.jpg;4;VRAI;4
2054;205403_81.jpg;4;VRAI;3
4238;423803_81.jpg;4;VRAI;3
3252;325203_81.jpg;4;VRAI;4
2075;207503_81.jpg;4;VRAI;2
2160;216003_81.jpg;4;VRAI;4
2202;220203_81.jpg;4;VRAI;4
2190;219003_81.jpg;4;VRAI;3
4158;415803_81.jpg;4;VRAI;3
4167;416703_81.jpg;4;FAUX;4
2086;208603_81.jpg;4;VRAI;3
2140;214003_81.jpg;4;VRAI;2
1103;110303_81.jpg;4;VRAI;4
4241;424103_81.jpg;4;VRAI;2
2248;224803_81.jpg;4;FAUX;3
1132;113203_81.jpg;4;VRAI;4
4145;414503_81.jpg;4;VRAI;3
4134;413403_81.jpg;4;FAUX;3
3110;311003_81.jpg;4;VRAI;4
4151;415103_81.jpg;4;FAUX;3
2176;217603_81.jpg;4;VRAI;3
2191;219103_81.jpg;4;VRAI;4
3134;313403_81.jpg;4;FAUX;4
2138;213803_81.jpg;4;FAUX;4
4161;416103_81.jpg;4;FAUX;3
2070;207003_81.jpg;4;VRAI;4
3082;308203_81.jpg;4;FAUX;4
4132;413203_81.jpg;4;FAUX;3
3107;310703_81.jpg;4;VRAI;4
4163;416303_81.jpg;4;VRAI;4
2142;214203_81.jpg;4;FAUX;4
2187;218703_81.jpg;4;FAUX;4
1063;106303_81.jpg;4;FAUX;2
2048;204803_81.jpg;4;FAUX;3
3165;316503_81.jpg;4;FAUX;4
1072;107203_81.jpg;4;FAUX;4
2065;206503_81.jpg;4;FAUX;3
4208;420803_81.jpg;4;FAUX;3
4166;416603_81.jpg;4;FAUX;4
2016;201603_81.jpg;4;FAUX;3
1092;109203_81.jpg;4;VRAI;2
3141;314103_81.jpg;4;FAUX;4
2010;201003_81.jpg;4;VRAI;2
4130;413003_81.jpg;3;FAUX;3
2145;214503_81.jpg;3;FAUX;3
2037;203703_81.jpg;4;VRAI;2
4159;415903_81.jpg;4;VRAI;2
2089;208903_81.jpg;3;FAUX;2
3170;317003_81.jpg;4;FAUX;4
4128;412803_81.jpg;4;VRAI;2
1104;110403_81.jpg;4;FAUX;4
2196;219603_81.jpg;4;FAUX;4
2052;205203_81.jpg;4;FAUX;3
3159;315903_81.jpg;4;VRAI;2
2128;212803_81.jpg;4;FAUX;3
4148;414803_81.jpg;4;FAUX;3
2130;213003_81.jpg;4;FAUX;4
2047;204703_81.jpg;4;FAUX;3
2139;213903_81.jpg;4;FAUX;3
4154;415403_81.jpg;4;FAUX;3
